id,duplicate_group,split
SYN-01001,200,train
SYN-01002,3262,train
SYN-01003,991,train
SYN-01004,2790,test
SYN-01005,794,train
SYN-01006,0,train
SYN-01007,36,train
SYN-01008,2939,train
SYN-01009,1,train
SYN-01010,2,validation
SYN-01011,3,train
SYN-01012,2850,train
SYN-01013,3055,train
SYN-01014,472,train
SYN-01015,4,validation
SYN-01016,401,validation
SYN-01017,5,validation
SYN-01018,3189,validation
SYN-01019,3797,train
SYN-01020,3407,train
SYN-01021,6,train
SYN-01022,3244,train
SYN-01023,3189,validation
SYN-01024,7,train
SYN-01025,8,train
SYN-01026,736,train
SYN-01027,3021,train
SYN-01028,9,validation
SYN-01029,10,test
SYN-01030,11,train
SYN-01031,3244,train
SYN-01032,12,train
SYN-01033,3189,validation
SYN-01034,13,train
SYN-01035,14,train
SYN-01036,4043,train
SYN-01037,3189,validation
SYN-01038,15,test
SYN-01039,16,validation
SYN-01040,634,train
SYN-01041,3189,validation
SYN-01042,17,train
SYN-01043,18,train
SYN-01044,19,train
SYN-01045,20,train
SYN-01046,21,train
SYN-01047,1367,train
SYN-01048,22,validation
SYN-01049,1190,train
SYN-01050,23,train
SYN-01051,24,train
SYN-01052,25,train
SYN-01053,1330,train
SYN-01054,26,test
SYN-01055,2369,train
SYN-01056,634,train
SYN-01057,27,validation
SYN-01058,3383,train
SYN-01059,200,train
SYN-01060,4045,train
SYN-01061,28,train
SYN-01062,2313,test
SYN-01063,2369,train
SYN-01064,29,test
SYN-01065,30,test
SYN-01066,200,train
SYN-01067,3580,train
SYN-01068,31,test
SYN-01069,3264,test
SYN-01070,32,validation
SYN-01071,472,train
SYN-01072,3244,train
SYN-01073,3471,validation
SYN-01074,2079,train
SYN-01075,4144,train
SYN-01076,33,validation
SYN-01077,991,train
SYN-01078,3344,validation
SYN-01079,34,train
SYN-01080,1330,train
SYN-01081,991,train
SYN-01082,35,test
SYN-01083,93,train
SYN-01084,36,train
SYN-01085,2999,train
SYN-01086,37,train
SYN-01087,874,train
SYN-01088,38,train
SYN-01089,1190,train
SYN-01090,39,train
SYN-01091,3580,train
SYN-01092,4289,train
SYN-01093,40,train
SYN-01094,41,train
SYN-01095,49,train
SYN-01096,1153,train
SYN-01097,42,train
SYN-01098,3385,train
SYN-01099,43,validation
SYN-01100,1330,train
SYN-01101,44,train
SYN-01102,45,validation
SYN-01103,46,test
SYN-01104,47,train
SYN-01105,1190,train
